date,Z,day_true,sig
2022-12-11,-463.4438899190594,1,True
2022-12-12,-167.28692127821833,1,True
2022-12-13,-232.26301142221322,1,True
2022-12-14,-352.45668840041617,1,True
2022-12-15,-306.1491740279264,1,True
2022-12-18,-326.5205270496845,1,True
2022-12-19,-351.9081946741569,1,True
2022-12-20,-372.48756503289917,1,True
2022-12-21,-304.13380481021863,1,True
2022-12-22,-336.16854771862995,1,True
2022-12-26,-216.98305069588503,1,True
2022-12-27,-461.7015928035206,1,True
2022-12-28,-407.4957701957029,1,True
2022-12-29,-398.4582166133237,1,True
2023-01-02,-377.81528987888566,1,True
2023-01-03,-406.6904500671875,1,True
2023-01-04,-358.4456330445427,1,True
2023-01-05,-201.57962000836395,1,True
2023-01-08,-378.04618111464254,1,True
2023-01-09,-447.772084232919,1,True
2023-01-10,-355.390426959245,1,True
2023-01-11,-264.93160957666413,1,True
2023-01-12,-393.27984201173405,1,True
2023-01-15,-372.92623312711174,1,True
2023-01-16,-409.8030142020223,1,True
2023-01-17,-427.173952890222,1,True
2023-01-18,-482.98066974082855,1,True
2023-01-19,-464.3162223353964,1,True
2023-01-22,-427.08529653640085,1,True
2023-01-23,-270.3917816674156,1,True
2023-01-24,-480.46159059226255,1,True
2023-01-25,-397.7469300180015,1,True
2023-01-26,-329.3331168819963,1,True
2023-02-19,-256.0690833008233,1,True
2023-02-20,-346.8406262284374,1,True
2023-02-21,-420.70071251543993,1,True
2023-02-22,-339.0701238227685,1,True
2023-02-23,-394.3046033786979,1,True
2023-02-26,-419.0328133492988,1,True
2023-02-27,-279.29588568054965,1,True
2023-02-28,-386.37137920348096,1,True
2023-03-01,-416.40875351017604,1,True
2023-03-02,-418.9522320352905,1,True
2023-03-05,-433.34421968432247,0,True
2023-03-06,-281.4168231473879,1,True
2023-03-07,-302.4920146169316,1,True
2023-03-08,-344.7404002199771,1,True
2023-03-09,-319.21465363177697,1,True
2023-03-12,-452.0891890095671,1,True
2023-03-13,-344.1120207646423,1,True
2023-03-14,-360.93740462579325,1,True
2023-03-15,-315.18904612755864,1,True
2023-03-16,-435.7797815839151,1,True
2023-03-19,-377.26113420450775,1,True
2023-03-20,-346.3933750449537,1,True
2023-03-21,-242.80577109555563,1,True
2023-03-22,-377.13439363368985,1,True
2023-03-23,-366.06583032709443,1,True
2023-03-26,-346.1759637087434,1,True
2023-03-27,-405.92141705899377,1,True
2023-03-28,-460.3028135788155,1,True
2023-04-02,-416.95128597391573,1,True
2023-04-03,-146.62498095318887,1,True
2023-04-04,-284.42095686899006,1,True
2023-04-05,-315.8091638244532,1,True
2023-04-09,-258.44506039071933,1,True
2023-04-10,-417.1962606136149,1,True
2023-04-11,-215.14709211576206,1,True
2023-04-12,-231.1570698163297,1,True
2023-04-13,-275.02805879799683,1,True
2023-04-16,-363.9394567243296,1,True
2023-04-17,-270.48842232110474,1,True
2023-04-18,-338.01683538973276,1,True
2023-04-19,-347.18601781811634,1,True
2023-04-20,-197.75198951092858,1,True
2023-04-23,-363.42604039342035,1,True
2023-04-24,-394.8562027794406,1,True
2023-04-25,-368.2294676651414,1,True
2023-04-26,-266.44227331029686,1,True
2023-04-27,-333.3223754170978,1,True
2023-04-30,-221.15124267607158,1,True
2023-05-01,-251.40883681627022,1,True
2023-05-02,-264.3294748200692,1,True
2023-05-03,-181.32610735115907,1,True
2023-05-04,-162.16768653479113,1,True
2023-05-07,-354.2500520470226,1,True
2023-05-08,-424.20992855205475,1,True
2023-05-09,-191.082365404179,1,True
2023-05-10,-210.0221750145052,1,True
2023-05-11,-382.08343407507215,1,True
2023-05-14,-414.0949440425845,1,True
2023-05-15,-340.9304688089172,1,True
2023-05-16,-315.82701925819384,1,True
2023-05-17,-347.698555168394,1,True
2023-05-18,-197.5575834850916,1,True
2023-05-21,-407.30577771958514,1,True
2023-05-22,-404.8811228657402,1,True
2023-05-23,-392.70994174196187,1,True
2023-05-24,-171.473006138265,1,True
2023-05-25,-279.8632243509538,1,True
2023-06-01,-224.85655302313768,1,True
2023-06-04,-198.73827745528632,1,True
2023-06-05,-323.47298388551076,1,True
2023-06-06,-333.13488645358274,1,True
2023-06-07,-211.1473084237936,1,True
2023-06-08,-277.81699379590094,1,True
2023-06-11,-342.141235324986,1,True
2023-06-12,-321.1965751998797,1,True
2023-06-13,-240.09899302767047,1,True
2023-06-14,-334.22447593590425,1,True
2023-06-15,-350.3708063552023,1,True
2023-06-18,-355.6177797591397,1,True
2023-06-19,-338.6952816544057,1,True
2023-06-20,-312.10322503799443,1,True
2023-06-21,-349.2138601194986,1,True
2023-06-22,-291.86791452649913,1,True
2023-06-25,-382.01599493697216,1,True
2023-06-26,-247.51050739759674,1,True
2023-06-27,-347.42849842590635,1,True
2023-06-28,-240.78634344719566,1,True
2023-06-29,-334.13467876612117,1,True
2023-07-02,-311.44054660509477,1,True
2023-07-03,-366.35483831015324,1,True
2023-07-04,-257.18773814175086,1,True
2023-07-05,-169.78579365623284,1,True
2023-07-06,-309.57961178234007,1,True
2023-07-09,-261.6407657363132,1,True
2023-07-10,-357.87765018175975,1,True
2023-07-11,-192.0182795238607,1,True
2023-07-12,-324.0204723437716,1,True
2023-07-13,-286.9967289615073,1,True
2023-07-16,-351.7209051234085,1,True
2023-07-17,-309.752493566777,1,True
2023-07-18,-418.1960356461449,1,True
2023-07-19,-388.8449113451763,1,True
2023-07-20,-353.8259311895684,1,True
2023-07-23,-352.4496562204389,0,True
2023-07-24,-349.16585211274,1,True
2023-07-25,-285.11412316940016,1,True
2023-07-26,-281.8283838287697,1,True
2023-08-01,-263.3198101888024,1,True
2023-08-02,-405.47334959151203,1,True
2023-08-03,-240.04553090968463,1,True
2023-08-06,-241.22566954184356,1,True
2023-08-07,-396.57761123127835,1,True
2023-08-08,-319.2832602827552,1,True
2023-08-09,-344.2816522807685,1,True
2023-08-10,-288.08329499186846,1,True
2023-08-13,-297.4028897156141,1,True
2023-08-14,-314.52592226336543,1,True
2023-08-15,-447.6262097293676,1,True
2023-08-16,-364.0610463152472,1,True
2023-08-17,-355.07983630972194,1,True
2023-08-20,-385.88035728228976,1,True
2023-08-21,-408.08292193184144,0,True
2023-08-22,-259.3158436818321,1,True
2023-08-23,-317.67149168358435,1,True
2023-08-24,-194.34174549994358,1,True
2023-08-27,-310.6347611084979,1,True
2023-08-28,-171.8524828681382,1,True
2023-08-29,-236.08104978016306,1,True
2023-08-30,-353.10921410611616,1,True
2023-08-31,-273.76336315468444,1,True
2023-09-03,-376.8325055481306,1,True
2023-09-04,-267.3382599253683,1,True
2023-09-05,-286.70889055705425,1,True
2023-09-06,-282.1764664272908,1,True
2023-09-07,-301.1079514658389,1,True
2023-09-10,-359.452841974071,1,True
2023-09-11,-336.3221245705291,1,True
2023-09-12,-272.9286626450983,1,True
2023-09-13,-310.52804280406775,1,True
2023-09-14,-276.86061283092664,1,True
2023-09-17,-356.39938185905066,1,True
2023-09-18,-349.4518557421324,1,True
2023-09-19,-262.95356281357977,1,True
2023-09-20,-377.49261547839563,1,True
2023-09-21,-446.8117550163644,1,True
2023-09-24,-220.0187349490606,1,True
2023-09-25,-330.15390413669513,1,True
2023-09-26,-404.8040955200027,1,True
2023-09-27,-321.24186363609243,1,True
2023-09-28,-313.350544181806,1,True
2023-10-01,-386.91168413116577,1,True
2023-10-02,-372.58660258688604,1,True
2023-10-03,-400.6910189466305,1,True
2023-10-04,-331.05992428825624,1,True
2023-10-05,-332.5763606966978,1,True
2023-10-08,-427.97061846120425,0,True
2023-10-09,-434.9255946096427,1,True
2023-10-10,-405.19317159361736,1,True
2023-10-11,-311.85277422826397,1,True
2023-10-12,-185.39497247059018,1,True
2023-10-15,-328.4253157892616,1,True
2023-10-16,-374.8659228789356,1,True
2023-10-17,-342.5196303750154,1,True
2023-10-18,-386.3468677124811,1,True
2023-10-19,-381.01276882925856,1,True
2023-10-22,-368.8407046869422,1,True
2023-10-23,-427.74787062974394,1,True
2023-10-24,-311.4852292782444,1,True
2023-10-25,-424.1272005977683,1,True
2023-10-26,-306.81972433125213,1,True
2023-10-29,-377.3068316955583,1,True
2023-10-30,-364.1218116648202,1,True
2023-10-31,-376.6380615163905,1,True
2023-11-01,-364.78325161314984,1,True
2023-11-02,-178.5003576225165,1,True
2023-11-05,-362.8128526434028,1,True
2023-11-06,-373.1405825876239,1,True
2023-11-07,-428.2049127645081,1,True
2023-11-08,-382.59940241486703,1,True
2023-11-09,-398.7940744489967,1,True
2023-11-12,-414.3317497044169,1,True
2023-11-13,-188.09485224363797,1,True
2023-11-14,-277.81129596546026,1,True
2023-11-15,-273.80625373137474,1,True
2023-11-16,-351.36025417604543,1,True
2023-11-19,-384.5365866755793,1,True
2023-11-20,-361.7758715549405,1,True
2023-11-21,-289.1749955774097,1,True
2023-11-22,-346.07654898426557,1,True
2023-11-23,-210.6471710862929,1,True
2023-11-26,-240.55154592402715,1,True
2023-11-27,-378.49798668008606,1,True
2023-11-30,-390.1499751092411,1,True
2023-12-03,-240.2989009289145,1,True
2023-12-04,-382.5839553696333,1,True
2023-12-05,-394.34877698607517,1,True
2023-12-06,-345.1762648198686,1,True
2023-12-07,-256.7252590187483,1,True
2023-12-10,-401.56774317821987,1,True
2023-12-11,-253.7095918757982,1,True
2023-12-12,-166.94168075929238,1,True
2023-12-13,-338.0178352914632,1,True
2023-12-14,-238.2307131031199,1,True
2023-12-17,-239.75373027647814,1,True
2023-12-18,-259.6857215640059,1,True
2023-12-19,-398.8356210717882,1,True
2023-12-20,-301.46316562343316,1,True
2023-12-21,-369.919093716424,1,True
2023-12-25,-344.31951072938307,1,True
2023-12-26,-305.0261322563723,1,True
2023-12-27,-404.09293199829455,1,True
2023-12-28,-415.6489282857122,1,True
2024-01-01,-348.9124163501556,1,True
2024-01-02,-302.65280409320076,1,True
2024-01-03,-383.17972223450056,1,True
2024-01-04,-255.51584959401774,1,True
2024-01-07,-389.38998555724055,1,True
2024-01-08,-365.82851387177834,1,True
2024-01-09,-491.7646496667141,1,True
2024-01-10,-256.5482786289355,1,True
2024-01-11,-371.34760811425264,1,True
2024-01-14,-344.6827179275828,0,True
2024-01-15,-294.33945039202206,1,True
2024-01-16,-396.9765066480829,1,True
2024-01-17,-486.93237253038416,1,True
2024-01-18,-407.68640552346915,1,True
2024-01-21,-439.9697516380298,1,True
2024-01-22,-338.32305852222675,1,True
2024-01-23,-299.64481747872276,1,True
2024-01-24,-434.9627766950172,1,True
2024-01-25,-376.2328223637327,1,True
2024-01-28,-287.1830088056705,1,True
2024-01-31,-331.7544687018213,1,True
2024-02-01,-154.0422993265041,1,True
2024-02-04,-448.53395275474566,1,True
2024-02-05,-366.45659053729327,1,True
2024-02-06,-210.1852418085343,1,True
2024-02-07,-291.01693666909694,1,True
2024-02-08,-292.0131276062517,1,True
2024-02-11,-338.76820522175177,1,True
2024-02-12,-168.41579244976535,1,True
2024-02-13,-398.99513165533494,1,True
2024-02-14,-286.4037083482901,1,True
2024-02-15,-246.74346338529597,1,True
2024-02-18,-398.40141059942874,1,True
2024-02-19,-406.51702575660585,1,True
2024-02-20,-397.6381456558803,1,True
2024-02-21,-426.34124941331044,1,True
2024-02-22,-422.74108969783293,1,True
2024-02-25,-432.9709979465013,1,True
2024-02-26,-447.4755118838065,1,True
2024-02-27,-383.3107970341133,1,True
2024-02-28,-167.47197629305543,1,True
2024-02-29,-308.7394690289904,1,True
2024-03-03,-311.8489212941639,1,True
2024-03-04,-262.6505957002723,1,True
2024-03-05,-370.31727270468446,1,True
2024-03-06,-385.71068594677223,1,True
2024-03-07,-283.7687879210771,1,True
2024-03-10,-416.139303081274,1,True
2024-03-11,-235.25936365634348,1,True
2024-03-12,-372.0019776232732,1,True
2024-03-13,-355.1698777811182,1,True
2024-03-14,-436.67315988574654,1,True
2024-03-17,-386.98479399743275,1,True
2024-03-18,-339.872003940686,1,True
2024-03-19,-237.68648263329132,1,True
